ccyy,scope,error0_mean,error1_mean,error2_mean,corr0_mean,corr1_mean,corr2_mean,R2_0_mean,R2_1_mean,R2_2_mean,non_missing_hmc_mean,non_missing_hmc_pred0_mean,non_missing_hmc_pred1_mean,non_missing_hmc_pred2_mean,gini_dhi_scope_hmc
dk13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
do07,.7312281,2.0981677,1.3939715,1.4095677,.61089802,.75396824,.7562719,.37319639,.56846809,.57194716,1,1,1,1,.5235046
eg12,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ee00,.91767162,.5435426,.5693743,.56321645,.71951455,.66107035,.66575432,.51770121,.43701401,.44322881,1,1,1,1,.3587848
ee04,.98979612,.,.,.,.,.,.,.,.,.,0,1,1,1,.
ee07,.9766955,.,.,.,.,.,.,.,.,.,0,1,1,1,.
ee10,.97035147,.,.,.,.,.,.,.,.,.,0,1,1,1,.
ee13,.92891162,.,.,.,.,.,.,.,.,.,0,1,1,1,.
fi87,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fi91,.97388817,.,.,.,.,.,.,.,.,.,0,1,1,1,.
fi95,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fi00,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fi04,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fi07,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fi10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fi13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fr78,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
fr84,.87402739,.34060641,.20990809,.20902793,.48869723,.72975582,.73338217,.23882498,.53254354,.53784943,1,1,1,1,.33133506
fr89,.94116942,.34541816,.23126456,.23628161,.67208505,.77532846,.7693367,.4516983,.60113424,.59187895,1,1,1,1,.2816572
fr94,.84905137,.25030254,.21497906,.22120686,.67058861,.71642381,.70739806,.44968909,.51326305,.50041199,1,1,1,1,.2775581
fr00,.99862182,1.2538773,.60311533,.58802684,.38373256,.78471613,.79088157,.14725068,.6157794,.62549365,1,1,1,1,.27708112
fr05,.99972491,.43441773,.39831939,.3852047,.45265469,.53350085,.56320697,.20489627,.28462315,.31720209,1,1,1,1,.28032303
fr10,.90978429,.33226477,.29652433,.29579921,.57811576,.6265744,.62934524,.33421785,.39259547,.39607543,1,1,1,1,.28593346
ge10,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
ge13,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
de73,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
de78,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
de81,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
de83,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.
de84,.980434,.,.,.,.,.,.,.,.,.,0,1,1,1,.
de89,.95015615,.,.,.,.,.,.,.,.,.,0,1,1,1,.
de94,.88983206,.,.,.,.,.,.,.,.,.,0,1,1,1,.
de00,.89016369,.,.,.,.,.,.,.,.,.,0,1,1,1,.
