    ccyy   conc_dhi_dhi   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc2   gini_inc3   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_scope   varlog_dhi   varlog_inc1   varlog_inc2   varlog_inc3   varlog_inc4   varlog_inc_5_ours   varlog_inc_5_ours_pred   varlog_inc_5_ours_wor   varlog_inc_5_ours_wor_pred  
    pl13       .3159042           .2304504                .1932212                  .3342041                       .3421768                    .2304504                         .1932212             .3159042           .           .              .3409802                   .3517592   27735.27                   27220.86              27220.86     .9911134     .3704671             .             .             .      .3735666            .4128272                 .4805577                .4063514                     .4820065  
    ro97       .2838444           .2123116                       .                         .                              .                           .                                .             .2838444           .           .                     .                          .    8209499                          0                     0            1     .2755805             .             .             .      .3008276                   .                        .                       .                            .  
    ru10              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    ru13              .                  .                       .                         .                              .                           .                                .                    .           .           .                     .                          .          .                          .                     .            0            .             .             .             .             .                   .                        .                       .                            .  
    rs06       .3347493           .1654474                       .                         .                              .                           .                                .             .3347493           .           .                     .                          .   219363.4                          0                     0     .8881598     .5297191             .             .             .             .                   .                        .                       .                            .  
    rs10       .3207797            .172852                       .                         .                              .                           .                                .             .3207797           .           .                     .                          .   326502.7                          0                     0     .9341224     .4642031             .             .             .             .                   .                        .                       .                            .  
    rs13       .3340643           .1573389                       .                         .                              .                           .                                .             .3340643           .           .                     .                          .   396798.7                          0                     0     .9259969      .468343             .             .             .             .                   .                        .                       .                            .  
    sk07       .2463767                  .                       .                         .                              .                           .                                .                    .    .3095191     .294496                     .                          .   212726.4                          0                     0     .9649346     .2349256      2.237761      .4452447      .3407114      .2350798                   .                        .                       .                            .  
    sk10       .2642742                  .                       .                         .                              .                           .                                .                    .    .3206789    .3003386                     .                          .   8384.955                          0                     0     .9943672     .2825139      2.502226      .5231602      .3563456      .2825214                   .                        .                       .                            .  
    sk13       .2690324                  .                       .                         .                              .                           .                                .                    .    .3283579    .3095313                     .                          .   9004.162                          0                     0     .9991841     .3051894      2.465043      .6716174      .4186706      .3052335                   .                        .                       .                            .  
    si97       .2293247           .1654269                .1303993                  .2473554                       .2572394                    .1654269                         .1303993             .2293247           .           .              .2633945                   .2743128    1352082                    1218078               1218078        .9999     .2044458             .             .             .             .            .3010217                 .3203126                 .268797                     .3226419  
