    ccyy   conc_dhi_dhi   conc_dhi_hmc   conc_dhi_hmc_medianized_predict   conc_dhi_hmc_wor   conc_dhi_hmc_wor_pred   conc_dhi_inc_5_ours   conc_dhi_inc_5_ours_pred   conc_dhi_inc_5_ours_wor   conc_dhi_inc_5_ours_wor_pred   conc_dhi_tax_eff_ours   conc_dhi_tax_eff_ours_pred   conc_dhi_tax_eff_ours_wor   conc_dhi_tax_eff_ours_wor_pred   gini_dhi_scope_hmc   gini_inc1   gini_inc2   gini_inc3   gini_inc4   gini_inc_5_ours   gini_inc_5_ours_pred   gini_inc_5_ours_wor   gini_inc_5_ours_wor_pred   mean_dhi   mean_hchous   mean_hitp   mean_hmc   mean_hmc_pred_scaled   mean_hmc_scaled   mean_hmc_wor_pred_scaled   mean_hmc_wor_scaled   mean_hmchous   mean_inc1   mean_inc2   mean_inc3   mean_inc4   mean_scope  
    dk13       .2505052              .                          .1415016                  .                .1255184                     .                   .2920876                         .                       .2968757                       .                     .1415016                           .                         .1255184                    .    .4847886    .3476737    .2904432    .2537107                 .               .2921331                     .                   .2975957   258096.8      26010.28    2591.489          .               253810.7                 .                     231661                     .        1960.52    287665.7    347787.9    378921.3    255966.8     .9985921  
    do07       .5122894       .3606753                          .2806113           .3511743                       .                     .                          .                         .                              .                       .                            .                           .                                .             .5122894    .5673211    .5238003    .5190328    .5126703                 .                      .                     .                          .   115753.2      23797.21    12996.44   105892.8                      .                 .                          .                     .        11439.3    102130.1    118715.1    118401.3    115608.9     .9928774  
    eg12       .5121479              .                          .2676165                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .5600482    .5181255    .5121509           .                 .                      .                     .                          .   11708.92             .    478.1881          .                      .                 .                          .                     .              .    10085.44    11594.82    11696.56           .     .9834682  
    ee00       .3602241       .2731975                          .1991452           .2877059                .1994925               .386244                   .4083847                  .3818734                       .4082083                .2731975                     .1991452                    .2877059                         .1994925             .3602241    .5058233    .3861964    .3606686    .3415066          .3943915                .408414              .3904748                   .4082553    46053.3      6640.982    255.5905   45220.17               47637.77          47637.77                   46861.22              46861.22       5990.598    34491.13    41240.32     44665.8    39275.21     .9940083  
    ee04       .3467705              .                          .1934584                  .                .1945841                     .                   .3999576                         .                       .3994558                       .                     .1934584                           .                         .1945841                    .    .5057855    .3965394    .3793332    .3477345                 .               .4000035                     .                   .3995073   66905.84      8601.271    786.2414          .               76968.38                 .                   75827.59                     .       8601.266    65363.54    75885.41    80134.72    66774.21     .9932611  
    ee07        .312315              .                          .1751386                  .                .1778927                     .                   .3625976                         .                       .3614075                       .                     .1751386                           .                         .1778927                    .     .453483    .3539023    .3394211    .3129407                 .               .3634146                     .                   .3622346   112682.1      34357.49    852.1823          .               123966.2                 .                   120879.8                     .       10968.31    112332.2    127793.8    133855.7    112586.1     .9989985  
    ee10       .3189225              .                          .1801421                  .                .1824231                     .                   .3613242                         .                       .3605033                       .                     .1801421                           .                         .1824231                    .    .4829049    .3830864    .3655624    .3181769                 .               .3605666                     .                   .3597458   115392.6      25626.52    1215.119          .                 109822                 .                     107982                     .       13964.72    144472.5      164599    174364.3    115155.4     .9984698  
    ee13       .3512838              .                          .1969524                  .                .2002202                     .                   .4016303                         .                        .400389                       .                     .1969524                           .                         .2002202                    .    .5271606    .4220746    .4101454    .3516743                 .               .4015398                     .                   .4002948   9783.857      1731.892    78.11062          .                9980.62                 .                   9774.852                     .       1088.345    11338.89    13004.52    13619.23    9727.186     .9727793  
    fi87       .2068559              .                          .1178586                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .3901529    .2906418    .2597512    .2074266                 .                      .                     .                          .   64711.18      2813.512    140.4447          .                      .                 .                          .                     .       212.0679    70846.54    82154.73    87704.41    64378.32     .9998171  
    fi91       .2087856              .                          .1195516                  .                       .                     .                          .                         .                              .                       .                            .                           .                                .                    .    .4085398    .2999829    .2582595    .2101321                 .                      .                     .                          .   88886.86      14064.84    224.2915          .                      .                 .                          .                     .       8704.917    90802.62    107499.1    117476.5       88207     .9994943  
    fi95       .2171414              .                          .1226907                  .                .1302722                     .                   .2464539                         .                       .2436409                       .                     .1226907                           .                         .1302722                    .    .4826627    .3547929    .2700027     .216832                 .               .2464909                     .                   .2462065   87057.11       6482.37    951.6192          .               76419.94                 .                   71156.57                     .       656.6501    83924.55      104431    121742.8    87605.46     .9997848  
