ccyy,scope,hmc_mean,dhi_mean,hmchous_mean,hchous_mean,hmc_wor_scaled_mean,hmc_scaled_mean,inc1_mean,inc2_mean,inc3_mean,inc4_mean,hmc_wor_pred_scaled_mean,hmc_pred_scaled_mean,dhi_conc_dhi,hmc_conc_dhi,hmc_wor_conc_dhi,tax_eff_ours_conc_dhi,tax_eff_ours_wor_conc_dhi,inc_5_ours_conc_dhi,inc_5_ours_wor_conc_dhi,hmc_medianized_predict_conc_dhi,hmc_wor_pred_conc_dhi,tax_eff_ours_pred_conc_dhi,tax_eff_ours_wor_pred_conc_dhi,inc_5_ours_pred_conc_dhi,inc_5_ours_wor_pred_conc_dhi,inc_5_ours_conc_inc_5_ours,inc_5_ours_wor_conc_inc_5_ours_wor,inc1_conc_inc1,inc2_conc_inc2,inc3_conc_inc3,inc4_conc_inc4,inc_5_ours_pred_conc_inc_5_ours_pred,inc_5_ours_wor_pred_conc_inc_5_ours_wor_pred,gini_dhi_scope_hmc
it00,.99136318,15296225,15740347,.,.,.,13998536,19951603,26258254,26625558,.,.,13998537,.34702171,.15271147,.,.15271147,.,.38260395,.,.16476911,.,.16476911,.,.38039595,.,.38442039,.,.47281689,.33968227,.3296639,.,.38056685,.,.34702171
it04,.99840602,9306.2499,9394.7436,.,.,.,8053.4338,21364.262,25122.952,25361.982,15459.688,.,8053.4341,.35768156,.15562453,.,.15562453,.,.3907151,.,.16324022,.,.16324021,.,.38947004,.,.39245641,.,.5027299,.40638875,.39912305,.33569299,.38961672,.,.35768156
it08,.99234455,10186.465,10690.113,.,.,.,9203.6793,23347.295,27882.42,28145.317,17366.507,.,9203.6797,.34368927,.14897391,.,.1489739,.,.3754618,.,.15706155,.,.15706155,.,.37414211,.,.37673636,.,.47616564,.38430507,.37670544,.32394148,.37429916,.,.34368927
it10,.99382986,10579.245,10601.977,.,.,.,9431.0863,23367.78,27912.023,28223.091,17159.978,.,9431.0869,.3444314,.16039464,.,.16039464,.,.37694945,.,.15975695,.,.15975695,.,.37706212,.,.37841422,.,.48229063,.38803167,.37976767,.32234832,.37724093,.,.34443139
it14,.98140665,10068.162,10381.456,2007.7207,5801.5818,.,.,22452.952,27135.456,27505.883,16721.123,.,.,.34889759,.16545855,.18047896,.,.,.,.,.15976639,.,.,.,.,.,.,.,.49130841,.39856321,.38826067,.32257802,.,.,.34889759
lt10,.96431475,.,10950.152,2881.0086,4987.8143,.,.,15559.037,19546.143,20906.007,17897.767,10044.064,10088.996,.32484734,.,.,.,.,.,.,.16011647,.16037529,.,.,.,.,.,.,.53218795,.38517427,.35978241,.32935851,.,.,.
lt13,.98921445,.,14472.218,3077.5247,5538.7332,.,.,21619.897,25872.685,27257.921,23394.698,14215.785,14276.562,.34681092,.,.,.,.,.,.,.17664656,.17693239,.,.,.,.,.,.,.51530755,.39552582,.37502192,.35464834,.,.,.
lu85,.99952849,.,302944.21,.,.,.,.,395126.53,485295.89,511446.72,.,.,.,.26633385,.,.,.,.,.,.,.11590548,.,.,.,.,.,.,.,.37879649,.25569618,.23530967,.,.,.,.
lu91,1,.,487378.29,53748.766,53748.772,.,.,640756.81,791893.17,833381.74,.,.,.,.26790732,.,.,.,.,.,.,.11723523,.,.,.,.,.,.,.,.37443855,.26043607,.2396503,.,.,.,.
lu94,1,.,574024.51,55788.88,55788.913,.,.,728883.68,908668.08,972830.19,.,.,.,.26945323,.,.,.,.,.,.,.11538634,.,.,.,.,.,.,.,.39087832,.26542243,.23670364,.,.,.,.
