   ccyy   agecat      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    it93       65          .   1.87e+07    413640.4                   1.015678                       .  
    lt10        1          .   18179.91    2960.645                    1.15032                16540.29  
    lt10       30          .   18673.79    2868.507                    1.21086                17417.17  
    lt10       50          .   20161.83    2997.167                   1.250055                17980.04  
    lt10       65          .   14136.25    2721.604                    .901985                12959.21  
    lt13        1          .   21292.04    3039.391                    1.10048                21716.45  
    lt13       30          .   25343.69     3074.82                   1.249717                24673.57  
    lt13       50          .    26511.9     3112.19                   1.264183                24959.12  
    lt13       65          .   17098.48    3059.969                   .9269936                18276.82  
    lu00        1          .    1085688    161218.2                   1.045971                       .  
    lu00       30          .    1155307    112327.4                   1.141198                       .  
    lu00       50          .    1370698    103396.6                   1.254743                       .  
    lu00       65          .    1088707    88341.46                   .9798208                       .  
    lu07        1          .   30851.04    5219.159                   .9668773                       .  
    lu07       30          .   37724.91    3834.661                   1.142117                       .  
    lu07       50          .   45411.19    3774.064                   1.243721                       .  
    lu07       65          .   36810.45    3466.892                   1.015901                       .  
    lu10        1          .   30198.51    6144.299                   .9330319                       .  
    lu10       30          .   39071.97    4863.039                   1.132052                       .  
    lu10       50          .   44912.33    4506.113                   1.206863                       .  
    lu10       65          .   43870.45     4284.37                   1.106196                       .  
    lu13        1          .   34040.99    5452.133                   .9722989                       .  
    lu13       30          .   41301.36    4684.197                   1.116104                       .  
    lu13       50          .   46485.92    4398.508                   1.194441                       .  
    lu13       65          .   47138.81    4438.842                   1.111043                       .  
    lu91        1          .   739476.6     63544.7                   1.155279                       .  
    lu91       30          .   827163.1    51935.13                   1.189583                       .  
    lu91       50          .   900919.7     52758.8                   1.196379                       .  
    lu91       65          .   766372.8    59215.03                   1.003917                       .  
    lu94        1          .   861067.8    71274.45                   1.186686                       .  
    lu94       30          .     958679    52897.46                   1.187357                       .  
    lu94       50          .    1081977    52555.05                   1.225574                       .  
    lu94       65          .   912665.4    64059.63                   1.009682                       .  
    lu97        1          .   876496.8    132560.4                   1.329646                       .  
    lu97       30          .   999603.7    89038.58                   1.236409                       .  
    lu97       50          .    1229469    79612.49                   1.272644                       .  
    lu97       65          .    1006952    79801.83                   .9991085                       .  
    mx00        1          .   29620.83    1787.427                   1.234729                       .  
    mx00       30          .   37295.05    1406.314                   1.516629                       .  
    mx00       50          .   41653.23    1142.711                   1.627064                       .  
    mx00       65          .   29969.86    884.5085                   1.176077                       .  
    mx02        1          .   35976.74    2716.135                   1.242266                       .  
    mx02       30          .   39743.17    1590.681                   1.396846                       .  
    mx02       50          .   44646.23    1325.866                   1.507369                       .  
    mx02       65          .    39032.8    1156.292                   1.268092                       .  
    mx04        1          .   38105.15    2623.596                   1.144405                31643.49  
    mx04       30          .   46426.91    1739.593                   1.391345                40478.52  
    mx04       50          .   51412.69    1513.668                   1.494768                43979.06  
    mx04       65          .   44873.05    1304.141                   1.234872                36258.16  
    mx08        1   34273.56   47493.43    4645.682                   1.093611                43564.78  
    mx08       30   42618.56   60989.09    4199.036                   1.329243                54112.52  
    mx08       50   44582.24   74801.89    4304.816                   1.493003                61109.14  
    mx08       65   36263.36    64000.3    4175.172                   1.243274                50414.06  
    mx10        1   37742.48   46439.17    5565.752                   1.055647                43694.33  
    mx10       30   48698.22   59432.29    5774.584                     1.3027                54289.02  
    mx10       50   51140.14   70728.29    6025.764                   1.436882                59996.84  
    mx10       65   41550.95      60394    6304.574                   1.218267                50465.31  
    mx12        1   43936.09    57303.3    4908.795                   1.110062                54075.04  
    mx12       30   51084.53   66901.52    4634.392                   1.288608                63270.81  
    mx12       50   58683.09   84298.31    5288.578                   1.522421                 74838.5  
    mx12       65   43286.22   64719.94    4693.307                   1.180413                57748.69  
    mx84        1          .     218458    12233.19                   1.202335                       .  
    mx84       30          .   244555.1    9534.747                   1.413852                       .  
    mx84       50          .   291818.7    11776.68                    1.56872                       .  
    mx84       65          .   246007.8    12419.52                   1.305937                       .  
    mx89        1          .    4577802    169917.9                   1.361214                       .  
    mx89       30          .    4922002    133716.5                   1.423562                       .  
    mx89       50          .    5423959    141958.9                   1.540912                       .  
    mx89       65          .    4580079    133504.8                   1.242938                       .  
    mx92        1          .    8302483    491801.3                   1.283968                       .  
    mx92       30          .    9870146    370422.2                   1.487745                       .  
    mx92       50          .   1.11e+07    330254.4                   1.557622                       .  
    mx92       65          .   1.00e+07    302540.5                   1.313032                       .  
    mx94        1          .   9777.013    676.0586                   1.320917                       .  
    mx94       30          .   11969.82    520.5549                   1.523732                       .  
    mx94       50          .   13542.14    388.3476                   1.564494                       .  
    mx94       65          .    10289.4    350.1731                   1.256029                       .  
    mx96        1          .   14086.63    841.0782                   1.321928                       .  
    mx96       30          .    16470.6     624.209                   1.466072                       .  
    mx96       50          .   16637.52    525.5008                   1.469832                       .  
    mx96       65          .      15038    584.1683                   1.264627                       .  
    mx98        1          .   20688.21    1272.949                    1.27231                       .  
    mx98       30          .   24038.99     877.855                   1.461411                       .  
    mx98       50          .   26871.11    780.8156                   1.543847                       .  
    mx98       65          .   24369.43    691.5645                   1.282414                       .  
    nl04        1          .   17423.11    5705.998                   1.084159                16800.84  
    nl04       30          .   20493.25    5852.438                   1.201639                18717.26  
    nl04       50          .   24663.97    5644.017                    1.24749                19519.18  
    nl04       65          .   19498.54    5234.358                   .9514523                14698.25  
    nl07        1          .   17421.67    4084.156                    1.00796                 18757.2  
    nl07       30          .      24380    2874.847                   1.125329                21621.18  
    nl07       50          .   29652.13    3251.526                   1.246191                23915.93  
    nl07       65          .   21345.58    4366.209                   1.006748                18618.84  
    nl10        1          .   18228.34     4561.97                   1.050368                19232.04  
    nl10       30          .   24768.53    2929.408                   1.122633                21415.59  
    nl10       50          .   28614.43     3249.84                   1.207726                22995.35  
    nl10       65          .   23117.67    4238.281                   1.025386                18869.77  
