   ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    ch04              10   29954.62    24389.6    9052.713                   .8297156                       .  
    ch04              11   24677.57   25207.26    6590.017                   .7698566                       .  
    ch04              12   27437.08    25732.8    6631.646                   .7689684                       .  
    ch04              13   22765.74   26353.98     4925.99                   .6707472                       .  
    ch04              14   23117.41   26883.36    6828.447                   .7923667                       .  
    ch04              15    27816.4   27344.27    6917.648                   .7869666                       .  
    ch04              16   25399.42   28066.72    5841.907                   .7456014                       .  
    ch04              17    23423.5   28616.27    5866.847                   .7465223                       .  
    ch04              18   27396.62   29126.78    7786.869                   .8787118                       .  
    ch04              19   31556.14   30063.65     6444.41                   .8212204                       .  
    ch04              20   23009.59   30762.61    5826.974                   .7740609                       .  
    ch04              21   30929.07   31329.61    7745.281                   .9034717                       .  
    ch04              22   27819.78   31785.33    6968.227                   .8791196                       .  
    ch04              23   25072.79   32228.84     7346.92                   .8958588                       .  
    ch04              24   39908.72   32792.31    8744.533                   .9919329                       .  
    ch04              25   24437.77    33285.6    6522.515                   .8134261                       .  
    ch04              26   27367.87   33761.24    7767.367                   .9406385                       .  
    ch04              27   35060.96    34248.5    8295.768                   .9987686                       .  
    ch04              28   28677.09   34731.46    7618.787                   .9347391                       .  
    ch04              29   29882.71   35254.77    5321.904                    .804433                       .  
    ch04              30   31068.46   35746.22    8122.496                   .9732035                       .  
    ch04              31   29465.85   36169.75    5447.324                   .8185881                       .  
    ch04              32   32118.14   36713.71    8128.215                   .9670048                       .  
    ch04              33   31943.51   37242.35    9114.205                   .9957342                       .  
    ch04              34   26752.32    37687.5    7401.703                   .9609127                       .  
    ch04              35   43846.71   38264.71     8098.47                   1.035306                       .  
    ch04              36   29656.93   38866.63    5743.124                   .8797765                       .  
    ch04              37   26796.28   39258.21    5591.799                   .8716818                       .  
    ch04              38   30891.12   39730.49    6914.336                   .9268112                       .  
    ch04              39   34916.62   40216.23    5821.334                   .9142391                       .  
    ch04              40   32727.36   40547.84    8241.191                   1.065683                       .  
    ch04              41   32084.98   41040.66    7634.627                   .9837257                       .  
    ch04              42   27992.26    41465.6    6936.476                   .9768774                       .  
    ch04              43   31410.28    41913.5    6637.573                   .9791061                       .  
    ch04              44   30678.18   42316.55    6406.113                   .9857048                       .  
    ch04              45   37654.43   42711.93      6377.1                   .9629582                       .  
    ch04              46   41056.54   43178.84    7604.945                   .9971763                       .  
    ch04              47   31019.09   43596.96    6912.638                   1.031931                       .  
    ch04              48    39305.5   43988.39    7506.216                   1.030086                       .  
    ch04              49   28125.44   44487.66    4885.869                    .852541                       .  
    ch04              50   51452.38   45179.02    20783.71                   1.128973                       .  
    ch04              51   29029.87   45579.05    7717.974                    1.09344                       .  
    ch04              52   34047.05   46032.24    5992.445                   .9489806                       .  
    ch04              53   30900.14    46571.3    6541.507                   1.007712                       .  
    ch04              54   34757.65   47270.87    9478.251                   1.139787                       .  
    ch04              55   30564.34   48004.67    7516.789                   1.024677                       .  
    ch04              56   31338.77   48483.78     6553.57                    1.01046                       .  
    ch04              57    34636.2   48905.79    7522.658                   1.086209                       .  
    ch04              58   36733.47   49334.58    8457.764                   1.106647                       .  
    ch04              59   41506.91    49801.4     6507.25                   .9869069                       .  
    ch04              60   34348.66   50271.98    7553.283                   1.104381                       .  
    ch04              61   40572.41   51044.75     7345.22                   1.055264                       .  
    ch04              62   36155.28   51639.14    8226.394                   1.093831                       .  
    ch04              63   35647.24   52118.76    5940.846                   .9801838                       .  
    ch04              64   37942.13   52823.47    8412.849                   1.146208                       .  
    ch04              65   36728.38    53534.3    9462.428                   1.169783                       .  
    ch04              66   32973.69   54041.73    8652.473                   1.167381                       .  
    ch04              67   41635.43   54522.98    8684.863                   1.138867                       .  
    ch04              68   40632.68   55203.91    8497.366                   1.156255                       .  
    ch04              69   37214.83   55918.38    8602.738                   1.174267                       .  
    ch04              70   38309.48   56603.96    6548.646                   1.030854                       .  
    ch04              71   38380.95   57484.83    8168.725                   1.176105                       .  
    ch04              72   41960.91   58265.17    9824.251                   1.275195                       .  
    ch04              73   41206.93   59161.29    6314.494                   1.069189                       .  
    ch04              74   41978.91   60278.32     8995.48                   1.269618                       .  
    ch04              75   43505.39   61371.37    9003.941                   1.281418                       .  
    ch04              76   48040.54   62220.57     8841.74                    1.25132                       .  
    ch04              77   40489.05   63148.45    11711.63                   1.257304                       .  
    ch04              78   46131.79   63970.21    8994.403                   1.263696                       .  
    ch04              79   51186.38   64826.41    11926.57                   1.356261                       .  
    ch04              80   42777.86   65651.16     8050.25                   1.233193                       .  
    ch04              81   39404.06    66726.8    5897.173                   1.089721                       .  
    ch04              82   36857.54    67933.7    8080.888                   1.232668                       .  
    ch04              83   40512.47   69304.66    10840.79                   1.473303                       .  
    ch04              84   40289.35   70716.42    7854.421                   1.266532                       .  
    ch04              85   43723.02    71809.5    9239.757                   1.388725                       .  
    ch04              86   46111.69   73375.16    8474.955                   1.314539                       .  
    ch04              87   41775.73   74964.28     7392.84                   1.281814                       .  
    ch04              88   48469.02   76491.47    8100.601                   1.318349                       .  
    ch04              89   43915.49   77910.41    8247.139                    1.30634                       .  
    ch04              90   45463.98   79169.88    4297.001                   1.089747                       .  
    ch04              91   49450.64   80855.89    9249.091                   1.366085                       .  
    ch04              92   45074.88   83504.63    9231.451                   1.467624                       .  
    ch04              93   46239.16   85892.59    8251.501                   1.417284                       .  
    ch04              94   52313.83   88214.87    10060.84                   1.502728                       .  
    ch04              95   55185.48   91283.59    7783.585                   1.376089                       .  
    ch04              96   63119.18    96034.9    8365.631                   1.401161                       .  
    ch04              97   61914.69   101313.1    13524.69                    1.80229                       .  
    ch04              98   62009.28     109841    9889.497                   1.612767                       .  
    ch04              99   49199.46   127780.1    7588.131                     1.6177                       .  
    ch04             100   80267.76   198226.6    13094.32                   2.332922                       .  
    ch07               1          .   4754.232    10206.01                   .7443678                       .  
    ch07               2          .   10279.87    9966.292                   .7136328                       .  
    ch07               3          .   13820.75    9588.102                    .659462                       .  
    ch07               4          .   16290.42    8368.526                   .7063998                       .  
    ch07               5          .   17846.68    9345.077                    .684765                       .  
    ch07               6          .   19489.73     9355.05                    .700801                       .  
    ch07               7          .   20964.58    9807.546                   .7120643                       .  
    ch07               8          .   22449.02    10352.24                   .7429537                       .  
    ch07               9          .   23859.87    9922.292                   .7748596                       .  
    ch07              10          .   24945.64    10435.61                   .7458461                       .  
    ch07              11          .   25799.61    11510.54                   .7528015                       .  
    ch07              12          .   26609.94    9227.408                   .7521676                       .  
    ch07              13          .   27295.61    9579.259                   .7726743                       .  
    ch07              14          .   27784.67    8639.023                   .7433499                       .  
    ch07              15          .   28414.29    10558.38                   .7929379                       .  
    ch07              16          .   29148.77    10397.75                   .8097057                       .  
    ch07              17          .    29928.7    9586.351                   .7386349                       .  
    ch07              18          .   30490.89    10167.45                   .7690196                       .  
    ch07              19          .   31196.96     10056.9                   .7663314                       .  
    ch07              20          .   31846.87    10900.65                   .7881042                       .  
    ch07              21          .   32466.71    10895.59                   .8147546                       .  
    ch07              22          .   33072.29    10245.16                   .8000888                       .  
    ch07              23          .   33692.17    10707.58                   .8432716                       .  
    ch07              24          .    34339.1    10567.44                   .8530058                       .  
    ch07              25          .   34921.98    10510.03                   .8620536                       .  
    ch07              26          .   35566.18    9634.319                   .8479323                       .  
    ch07              27          .   36191.75    11895.87                   .9265684                       .  
    ch07              28          .   36874.24    10596.77                   .8627383                       .  
    ch07              29          .   37410.63    10566.69                    .900986                       .  
    ch07              30          .   37974.99    10691.61                   .9055248                       .  
    ch07              31          .   38494.75    10425.01                   .9212224                       .  
    ch07              32          .   38979.14    11095.71                   .9210336                       .  
    ch07              33          .   39581.68    9688.165                   .9262829                       .  
    ch07              34          .   40244.07    10512.42                   .9175932                       .  
    ch07              35          .   40905.52     11375.1                   .9542352                       .  
    ch07              36          .   41433.32     10310.6                   .9896035                       .  
    ch07              37          .   42008.72     10419.7                   .9241036                       .  
    ch07              38          .   42727.95    11218.72                   .9741755                       .  
    ch07              39          .   43201.94    10973.84                   .9317932                       .  
    ch07              40          .   43624.41    11056.01                   .9800183                       .  
    ch07              41          .   44195.24    10434.32                   .9936087                       .  
    ch07              42          .   44725.17    12227.96                   1.023921                       .  
    ch07              43          .    45298.1    11195.16                    1.01803                       .  
    ch07              44          .   45878.59    11396.92                   1.036083                       .  
    ch07              45          .   46296.34    11397.31                   1.002137                       .  
    ch07              46          .   47026.38    10629.38                   .9889243                       .  
    ch07              47          .   47743.03    11940.74                   1.020861                       .  
    ch07              48          .   48280.25    11556.91                   1.059561                       .  
    ch07              49          .   48846.31    11902.45                   1.019277                       .  
    ch07              50          .   49616.08    12012.86                   1.069538                       .  
    ch07              51          .   50242.22    11773.44                   1.071656                       .  
    ch07              52          .   50737.33    11318.38                   1.082854                       .  
    ch07              53          .   51291.13    11337.93                   1.102379                       .  
    ch07              54          .   51953.61    11561.75                    1.10356                       .  
    ch07              55          .   52701.88     11115.6                   1.090465                       .  
    ch07              56          .   53274.16    11924.68                   1.126303                       .  
    ch07              57          .   53819.09    12910.57                   1.116724                       .  
    ch07              58          .   54496.27    11795.51                   1.123278                       .  
    ch07              59          .   55283.19    10755.98                   1.078035                       .  
    ch07              60          .    55895.6    11289.14                   1.104853                       .  
    ch07              61          .   56663.51    11232.02                   1.122214                       .  
    ch07              62          .    57354.2    12009.32                   1.152133                       .  
    ch07              63          .   57955.19    12424.43                   1.113586                       .  
    ch07              64          .   58590.46    12012.69                   1.173859                       .  
    ch07              65          .   59293.67    12548.85                   1.192966                       .  
    ch07              66          .   60063.38    12451.61                    1.16221                       .  
    ch07              67          .   60829.48    12587.47                    1.22322                       .  
    ch07              68          .   61640.86    12295.91                   1.168296                       .  
    ch07              69          .   62638.58    11648.32                   1.160603                       .  
    ch07              70          .   63387.46    11502.59                   1.197449                       .  
    ch07              71          .   64240.64    12331.52                   1.180814                       .  
    ch07              72          .   65013.59    11904.62                    1.24583                       .  
    ch07              73          .   65930.13    12996.27                   1.281438                       .  
    ch07              74          .   67057.49    13336.45                   1.300018                       .  
    ch07              75          .   68144.79    12866.75                   1.294921                       .  
    ch07              76          .   69344.27    12788.14                   1.309387                       .  
    ch07              77          .   70474.55    13125.05                    1.33039                       .  
    ch07              78          .   71824.27    12527.52                   1.302777                       .  
    ch07              79          .   73161.25    13794.01                   1.341154                       .  
    ch07              80          .   74634.89    12956.56                   1.332782                       .  
    ch07              81          .   75933.95       13196                   1.377757                       .  
    ch07              82          .    77521.7    13966.73                   1.395076                       .  
    ch07              83          .   79111.11    14603.15                   1.387328                       .  
    ch07              84          .   80607.25    14358.88                   1.371054                       .  
    ch07              85          .    82216.2     15036.7                   1.465449                       .  
    ch07              86          .   84151.05    15005.29                   1.442956                       .  
    ch07              87          .   86512.76     14806.5                   1.481306                       .  
    ch07              88          .   88819.12    14644.71                   1.450013                       .  
    ch07              89          .   91065.55    16132.03                   1.517913                       .  
