    ccyy   dhi_quantiles      hmc_q      dhi_q   hmchous_q   hmc_medianized_predict_q   hmc_wor_pred_scaled_q  
    at10              64          .   28610.28    3129.222                    1.12759                 22916.9  
    at10              65          .    29066.3     3534.69                   1.171996                23749.87  
    at10              66          .   29445.56    3583.819                   1.191462                24146.68  
    at10              67          .   29823.13    3291.494                   1.194134                24274.84  
    at10              68          .   30139.14    3246.252                   1.162499                 23621.4  
    at10              69          .   30503.77    3098.538                   1.165216                23714.88  
    at10              70          .   30874.54     3363.35                   1.196783                24312.78  
    at10              71          .   31235.46    3607.647                   1.201126                24343.84  
    at10              72          .    31698.8    3264.036                   1.218013                24783.23  
    at10              73          .   32125.09    3179.831                   1.200008                24425.75  
    at10              74          .   32596.17    3824.887                   1.280523                25958.25  
    at10              75          .   33060.19    3432.829                   1.230305                24999.89  
    at10              76          .    33583.8    3380.055                   1.274603                25943.46  
    at10              77          .   34135.02    3646.649                   1.276401                25915.57  
    at10              78          .   34585.95    2741.784                   1.259678                25787.18  
    at10              79          .   35109.68    3130.032                   1.276635                26047.75  
    at10              80          .   35738.08    3082.453                   1.334924                27283.97  
    at10              81          .   36419.66    4034.552                   1.364595                27672.73  
    at10              82          .   37028.21      3425.3                   1.317428                26831.96  
    at10              83          .    37746.3    3296.942                   1.343074                27402.35  
    at10              84          .   38476.34    3286.878                   1.346026                27466.83  
    at10              85          .   39016.38    3915.303                   1.377354                27970.14  
    at10              86          .   39774.93    3504.653                   1.340059                27287.83  
    at10              87          .   40602.32    3832.847                   1.424761                28986.36  
    at10              88          .   41488.95     3480.75                   1.396514                 28479.7  
    at10              89          .   42446.21    3811.408                   1.445279                29422.67  
    at10              90          .    43414.5    3772.235                   1.480441                30170.98  
    at10              91          .   44831.39    3456.765                   1.437399                29344.49  
    at10              92          .   46260.54    3563.034                   1.510837                30861.07  
    at10              93          .   48007.95    3722.804                   1.536758                31366.24  
    at10              94          .   49980.78    3948.742                   1.595672                32548.22  
    at10              95          .   51880.53    3923.097                   1.636126                33404.36  
    at10              96          .   55128.41    4144.623                   1.693035                34545.32  
    at10              97          .    59925.8    4340.088                   1.777322                 36267.8  
    at10              98          .   66420.88    3988.283                   1.849374                 37868.1  
    at10              99          .    76505.3    4624.942                   1.952781                39883.58  
    at10             100          .     108685    4874.227                   2.398136                49177.95  
    at13               1          .   2267.125    4348.065                     .71312                15137.95  
