"LOCATION","Country","TRANSACT","Transaction","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,133801.6,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,137926.7,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,140221.3,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,143113,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,148785.4,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,154616.3,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,161648.3,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,169473.7,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,177798.6,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,176978.8,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,184948.4,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,191259.7,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,196017.9,,
"BEL","Belgium","NFP31P","Individual consumption expenditure","S14","Households","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,199444.1,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,137302.8,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","1996","1996","EUR","Euro","6","Millions",,,137942.5,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","1997","1997","EUR","Euro","6","Millions",,,141061.7,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","1998","1998","EUR","Euro","6","Millions",,,145820.8,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","1999","1999","EUR","Euro","6","Millions",,,149867.4,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2000","2000","EUR","Euro","6","Millions",,,157827.8,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2001","2001","EUR","Euro","6","Millions",,,165598.4,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2002","2002","EUR","Euro","6","Millions",,,167165.5,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2003","2003","EUR","Euro","6","Millions",,,169779.8,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2004","2004","EUR","Euro","6","Millions",,,173624.2,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2005","2005","EUR","Euro","6","Millions",,,180042.3,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2006","2006","EUR","Euro","6","Millions",,,189508.7,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2007","2007","EUR","Euro","6","Millions",,,199173.9,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2008","2008","EUR","Euro","6","Millions",,,210362.6,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2009","2009","EUR","Euro","6","Millions",,,213249.4,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2010","2010","EUR","Euro","6","Millions",,,214673.6,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2011","2011","EUR","Euro","6","Millions",,,218747.4,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2012","2012","EUR","Euro","6","Millions",,,222930.4,,
"BEL","Belgium","NFB6GR","Disposable income, gross","S14","Households","C","Current prices","2013","2013","EUR","Euro","6","Millions",,,224821.2,,
"BEL","Belgium","NFP3P","Final consumption expenditure","S14","Households","C","Current prices","1995","1995","EUR","Euro","6","Millions",,,111574.8,,
