"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Function","SECTOR","Sector","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2000","2000","CHF","Swiss Franc","6","Millions",,,32315.42,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2001","2001","CHF","Swiss Franc","6","Millions",,,33973.95,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2002","2002","CHF","Swiss Franc","6","Millions",,,35517.4,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2003","2003","CHF","Swiss Franc","6","Millions",,,36679.15,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2004","2004","CHF","Swiss Franc","6","Millions",,,37198.19,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2005","2005","CHF","Swiss Franc","6","Millions",,,37680.21,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2006","2006","CHF","Swiss Franc","6","Millions",,,38175.2,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2007","2007","CHF","Swiss Franc","6","Millions",,,39308.54,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2008","2008","CHF","Swiss Franc","6","Millions",,,41493.33,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2009","2009","CHF","Swiss Franc","6","Millions",,,43530.64,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2010","2010","CHF","Swiss Franc","6","Millions",,,44699.04,,
"CHE","Switzerland","D1CG","Total compensation of employees paid by the government","T","Total function","GS13","General government","C","Current prices","2011","2011","CHF","Swiss Franc","6","Millions",,,45841.79,,
