"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1983","1983","AUD","Australian Dollar","6","Millions",,,22634,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1984","1984","AUD","Australian Dollar","6","Millions",,,24821,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1985","1985","AUD","Australian Dollar","6","Millions",,,27868,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1986","1986","AUD","Australian Dollar","6","Millions",,,31137,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1987","1987","AUD","Australian Dollar","6","Millions",,,35223,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1988","1988","AUD","Australian Dollar","6","Millions",,,40102,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1989","1989","AUD","Australian Dollar","6","Millions",,,44886,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1990","1990","AUD","Australian Dollar","6","Millions",,,48805,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1991","1991","AUD","Australian Dollar","6","Millions",,,51395,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1992","1992","AUD","Australian Dollar","6","Millions",,,53396,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1993","1993","AUD","Australian Dollar","6","Millions",,,55390,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1994","1994","AUD","Australian Dollar","6","Millions",,,57759,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1995","1995","AUD","Australian Dollar","6","Millions",,,60621,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1996","1996","AUD","Australian Dollar","6","Millions",,,63754,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1997","1997","AUD","Australian Dollar","6","Millions",,,67737,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1998","1998","AUD","Australian Dollar","6","Millions",,,71506,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","1999","1999","AUD","Australian Dollar","6","Millions",,,75621,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2000","2000","AUD","Australian Dollar","6","Millions",,,80982,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2001","2001","AUD","Australian Dollar","6","Millions",,,86004,,
"AUS","Australia","P31CP040","Housing, water, electricity, gas and other fuels","C","Current prices","2002","2002","AUD","Australian Dollar","6","Millions",,,92069,,
